"Input Voltage (V)","Output Voltage (V)","Output Current (A)","Capacitance (uF)","Temperature (°C)"
10.2,5.1,2.5,100,25
10.5,5.3,2.7,110,28
10.8,5.5,2.9,120,30
11.1,5.7,3.1,130,32
11.4,5.9,3.3,140,34
11.7,6.1,3.5,150,36
12.0,6.3,3.7,160,38
12.3,6.5,3.9,170,40
12.6,6.7,4.1,180,42
12.9,6.9,4.3,190,44
13.2,7.1,4.5,200,46
13.5,7.3,4.7,210,48
13.8,7.5,4.9,220,50
14.1,7.7,5.1,230,52
14.4,7.9,5.3,240,54
14.7,8.1,5.5,250,56
15.0,8.3,5.7,260,58
15.3,8.5,5.9,270,60
15.6,8.7,6.1,280,62
15.9,8.9,6.3,290,64
16.2,9.1,6.5,300,66
16.5,9.3,6.7,310,68
16.8,9.5,6.9,320,70
17.1,9.7,7.1,330,72
17.4,9.9,7.3,340,74
17.7,10.1,7.5,350,76
18.0,10.3,7.7,360,78
18.3,10.5,7.9,370,80
18.6,10.7,8.1,380,82
18.9,10.9,8.3,390,84
19.2,11.1,8.5,400,86
19.5,11.3,8.7,410,88
19.8,11.5,8.9,420,90
